Study_Hours,Attendance,Previous_Score,Assignment_Score,Sleep_Hours,Final_Score
2,65,45,50,6,48
3,70,52,55,6,55
4,75,60,62,7,63
5,80,65,68,7,69
6,85,72,75,7,77
7,88,78,80,8,83
8,92,85,88,8,90
1,60,40,45,5,42
2,68,48,52,6,50
3,72,55,60,6,57
4,78,62,65,7,65
5,82,68,72,7,72
6,86,75,78,8,79
7,90,80,84,8,85
8,94,88,91,8,93
9,96,92,94,9,97
2,64,46,48,6,47
3,69,51,56,6,54
4,76,59,64,7,62
5,81,66,70,7,70
6,84,73,76,7,77
7,89,79,82,8,84
8,93,86,89,8,91
9,95,90,93,9,96
1,58,38,42,5,40
2,67,47,51,6,49
3,73,54,58,6,57
4,77,61,67,7,64
5,83,69,73,7,72
6,87,76,79,8,80
